French,English,Category,Note
French,English,Category,optional
J'ai,I have,Basics,
Je suis,I am,Basics,
aux États-Unis,in the United States,Places,
à Montréal,in Montreal,Places,
au Canada,in Canada,Places,
logiciel,software,Work & Tech,
les affaires,business,Work & Tech,
mon travail,my work,Work & Tech,
énergie propre,clean energy,Work & Tech,
panneau solaire sur le toit,solar panel on the roof,Work & Tech,
service public,utility,Work & Tech,
fournisseur,provider,Work & Tech,
tarif horaire,utility rate,Work & Tech,
stockage d'énergie,batteries / energy storage,Work & Tech,
mon patron,my company's owner / boss,Work & Tech,
mon chef,my direct boss,Work & Tech,
vitre,glass (window pane),Objects,
glace,ice,Objects,
robinet,tap / faucet,Objects,
le plancher,floor (inside),Objects,
le sol,soil / ground,Nature,
jaune d'œuf,egg yolk,Food,
blanc d'œuf,egg white,Food,
de l'ail,garlic,Food,
bouffe,food (informal),Food,Québécois
ma copine,my girlfriend,People,
ami en commun,mutual friend,People,
cours,class / course,School,
course,race,Sports & Life,
courses,errands,Daily Life,
terrain de tennis,tennis court,Sports & Life,
casque,helmet,Sports & Life,
des tâches,tasks,Daily Life,
je me suis blessé au genou,I hurt my knee,Health,
le début,the beginning,Words,
argent,money,Words,
abonnement,subscription,Words,
le marché,the market,Words,
propriétaires de maisons,homeowners,Words,
jaser,to chat / talk,Words,Québécois
en cas d'urgence,for backup / in an emergency,Phrases,
il y a 5 ans,5 years ago,Phrases,
faire du profit,to make profit,Phrases,
profiter,to enjoy / take advantage of,Phrases,
ça vaut pas la peine,it's not worth it,Phrases,
la plupart du temps,most of the time,Phrases,
je suis abonnée à cette chaîne,I'm subscribed to this channel,Phrases,
j'avais,I had (imperfect),Imparfait,avoir
j'étais,I was (imperfect),Imparfait,être
j'allais,I was going (imperfect),Imparfait,aller
je voulais,I wanted (imperfect),Imparfait,vouloir
je disais,I was saying (imperfect),Imparfait,dire
je partais,I was leaving (imperfect),Imparfait,partir
je faisais,I was doing (imperfect),Imparfait,faire
je venais,I was coming (imperfect),Imparfait,venir
je prenais,I was taking (imperfect),Imparfait,prendre
je voyais,I was seeing (imperfect),Imparfait,voir
je pouvais,I was able to (imperfect),Imparfait,pouvoir
je parlais,I was speaking (imperfect),Imparfait,parler
je choisissais,I was choosing (imperfect),Imparfait,choisir
j'attendais,I was waiting (imperfect),Imparfait,attendre
elle a grandi,she grew up,Passé composé,
il est retourné,he returned,Passé composé,être verb
il est allé,he went,Passé composé,être verb
il est monté,he went up,Passé composé,être verb
il est arrivé,he arrived,Passé composé,être verb
il est entré,he entered,Passé composé,être verb
il est venu,he came,Passé composé,être verb
il est resté,he stayed,Passé composé,être verb
il est parti,he left,Passé composé,être verb
il est sorti,he went out,Passé composé,être verb
il est descendu,he went down,Passé composé,être verb
il est tombé,he fell,Passé composé,être verb
j'ai vendu,I sold,Passé composé,avoir verb
j'ai acheté,I bought,Passé composé,avoir verb
je me suis fait $300,I made $300,Passé composé,
j'ai arrêté de jouer,I stopped playing,Passé composé,
je suis allé,I went,Passé composé,être verb
je suis parti,I left,Passé composé,être verb
j'ai recommencé,I started again,Passé composé,avoir verb
se réveiller,to wake up,Pronominaux,
se lever,to get up,Pronominaux,
se doucher,to shower,Pronominaux,
se brosser les dents,to brush one's teeth,Pronominaux,
